Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
You'll Never Find Me,96,English,"Patrick, a strange and lonely resident, lives in a mobile home at the back of an isolated caravan park. After a violent thunderstorm erupts, a mysterious young woman appears at his door, seeking shelter from the weather. The longer the night wears on and the more the young woman discovers about Patrick, the more difficult she finds it to leave. Soon she begins to question Patrick’s intentions, while Patrick begins to question his own grip on reality...",2024,"Horror, Thriller",None,"Elena Carapetis, Brendan Rock, Angela Korng, Jordan Cowan, Finn Watson","Josiah Allen, Indianna Bell","AMC Plus Apple TV Channel , AMC+ Amazon Channel, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Someone Like U Productions, Stakeout Films"
Heart of the Hunter,108,English,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.,2024,"Action, Mystery, Thriller",based on novel or book,"Tim Theron, Masasa Mbangeni, Connie Ferguson, Peter Butler, Bonko Khoza",Mandla Dube,"Netflix, Netflix basic with Ads ",,,Scene23
Godzilla x Kong: The New Empire,115,English,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024,"Action, Science Fiction, Adventure","giant monster, sequel, dinosaur, kaiju, fantasy world, giant ape, godzilla, monsterverse, king kong","Kaylee Hottle, Dan Stevens, Rebecca Hall, Alex Ferns, Brian Tyree Henry",Adam Wingard,,,,Legendary Pictures
Air Force One Down,84,English,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",2024,"Action, Thriller","usa president, air force one, rookie, u.s. secret service agent, provocative, intense, excited, powerful","Dascha Polanco, Ian Bohen, Katherine McNamara, Paul S. Tracey, Rade Šerbedžija",James Bamford,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","SP Media Group, Steven Paul Production"
Cold Meat,89,English,"David Petersen is passing through the Colorado Rockies. After saving a young diner waitress from her violent ex-husband during a break from driving, he hits the road again alone through a dangerous snow blizzard. One false move behind the wheel has him waking up inside a ravine, in the eye of the storm. But the cold is the least of his worries when a beast starts prowling outside. How will he survive?",2024,"Thriller, Horror",None,"James Barton-Steel, Riley Banzer, Nina Bergman, Yan Tual, Allen Leech",Sébastien Drouin,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Redbox, Spectrum On Demand ","Featuristic Films, Trilight Entertainment"
Code 8 Part II,101,English,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",2024,"Science Fiction, Action, Crime","superhero, suspenseful","Aaron Abrams, Stephen Amell, Sirena Gulamgaus, Robbie Amell, Alex Mallari Jr.",Jeff Chan,"Netflix, Netflix basic with Ads ",,,"XYZ Films, Collective Pictures"
Love Lies Bleeding,104,English,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",2024,"Crime, Romance, Thriller","homicide, blackmail, new mexico, eroticism, bisexuality, american dream, addiction, bodybuilder, steroids, murder, dirty cop, female protagonist, las vegas, brutality, crime family, gym, lgbt, estranged father, fitness, woman director, albuquerque, new mexico, neo-noir, female bodybuilder, 1980s, abusive husband, shooting range, father daughter relationship, lesbian, federal bureau of investigation, body horror","Kristen Stewart, Ed Harris, Jena Malone, Dave Franco, Katy O'Brian",Rose Glass,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Film4 Productions, Escape Plan, A24, Lobo Films"
Lift,107,English,"An international heist crew, led by Cyrus Whitaker, race to lift $500 million in gold from a passenger plane at 40,000 feet.",2024,"Action, Comedy, Crime","gold, gang of thieves, heist, airplane hijacking, caper comedy, terrorist group, cyber terrorism, international manhunt, plane, art heist, gold heist","Gugu Mbatha-Raw, Sam Worthington, Úrsula Corberó, Kevin Hart, Vincent D'Onofrio",F. Gary Gray,"Netflix, Netflix basic with Ads ",,,"Genre Films, 6th & Idaho, HartBeat Productions"
The Wages of Fear,107,French,"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",2024,"Action, Thriller","based on novel or book, nitroglycerin, remake","Astrid Whettnall, Ana Girardot, Sofiane Zermani, Alban Lenoir, Franck Gastambide",Julien Leclercq,"Netflix, Netflix basic with Ads ",,,"TF1 Studio, Labyrinthe Films, uMedia"
The Roommate,99,Spanish,"Vivi is a young writer who is forced to find a roommate to pay the mortgage on her apartment. What she does not suspect is that Roy, the supposed perfect partner she found, has a peculiar lifestyle: he never pays rent.",2024,Comedy,None,"José Eduardo Derbez, Fiona Palomo, Giuseppe Gamba, Bárbara de Regil, Maite Perroni",Pedro Pablo Ibarra,VIX  ,,,Videocine
Back to Black,122,English,"The extraordinary story of Amy Winehouse’s early rise to fame from her early days in Camden through the making of her groundbreaking album, Back to Black that catapulted Winehouse to global fame. Told through Amy’s eyes and inspired by her deeply personal lyrics, the film explores and embraces the many layers of the iconic artist and the tumultuous love story at the center of one of the most legendary albums of all time.",2024,"Music, Drama","biography, addiction, based on true story, alcoholism, mental illness, singer-songwriter, substance abuse, 1980s, 1990s, alcohol problems, 2000s, soul music, 2010s, biopic","Juliet Cowan, Jack O'Connell, Lesley Manville, Eddie Marsan, Marisa Abela",Sam Taylor-Johnson,,,,"Monumental Pictures, StudioCanal"
The Tearsmith,106,Italian,"Adopted together after a tough childhood in an orphanage, Nica and Rigel realize that unexpected but irresistible feelings pull them together.",2024,"Romance, Drama","based on novel or book, disturbed, calm, distressing","Caterina Ferioli, Sabrina Paravicini, Alessandro Bedetti, Simone Baldasseroni, Roberta Rovelli",Alessandro Genovesi,"Netflix, Netflix basic with Ads ",,,Colorado Film
Argylle,139,English,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",2024,"Action, Adventure, Comedy","cat, spy, secret agent, writer's block, author, novelist, aftercreditsstinger, secrets, spy universe","Henry Cavill, Bryce Dallas Howard, Bryan Cranston, Sam Rockwell, Catherine O'Hara",Matthew Vaughn,Apple TV Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Google Play Movies, YouTube ","Marv, Apple Studios, Cloudy Productions"
Dune: Part Two,167,English,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",2024,"Science Fiction, Adventure","epic, based on novel or book, fight, sandstorm, sand, spice, chosen one, sequel, distant future, creature, planet, desert, destiny, giant worm, space opera, sand dune, messiah, vengeance, giant creature, power, violence","Josh Brolin, Timothée Chalamet, Zendaya, Javier Bardem, Rebecca Ferguson",Denis Villeneuve,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",Legendary Pictures
Deadpool & Wolverine,0,English,"Third entry in the ""Deadpool"" franchise. Plot TBA.",2024,"Comedy, Science Fiction, Action","hero, superhero, anti hero, mutant, marvel cinematic universe (mcu)","Morena Baccarin, Rob Delaney, Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,,,,"Marvel Studios, Kevin Feige Productions, Maximum Effort, 21 Laps Entertainment, Genre Films"
Jade,0,English,"Jade presents the story of a woman who comes between a powerful businessman and a gang leader in their search for a hard drive that could damage the operations of Interpol. Despite grieving for the brother she accidentally killed, the woman is required to use her unique set of skills to retrieve the drive and protect her brother's unborn child being carried by another woman.",2024,"Action, Thriller",None,"Mickey Rourke, Marcus Aurelio, Mark Dacascos, Shaina West, Marcus Vincios Maciel",James Bamford,,,,Tetrad Productions
Noah's Ark,96,Portuguese,"A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?",2024,"Animation, Music, Comedy",noah's ark,"Keith Silverstein, Marcelo Adnet, Ian James Corlett, Rodrigo Santoro, Alice Braga","Sérgio Machado, Alois Di Leo",,,,"Gullane Entretenimento, VideoFilmes, Symbiosys Technologies Pvt Ltd., NIP, Globo Filmes, Telecine"
Civil War,109,English,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",2024,"War, Action, Drama","sniper, new york city, race against time, washington dc, usa, the white house, civil war, post-traumatic stress disorder (ptsd), photographer, dystopia, war photographer, road trip, president, female protagonist, soldier, fictional war, xenophobia, assassination of president, suicide bombing, disturbed, war trauma, mass grave, war journalism, charlottesville, near future, violence, american politics","Wagner Moura, Nelson Lee, Cailee Spaeny, Stephen McKinley Henderson, Kirsten Dunst",Alex Garland,,,,"DNA Films, IPR.VC"
Arthur the King,107,English,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.",2024,"Drama, Adventure","sweden, based on true story, lost dog, dog rescue, inspirational, dog adventure, leakedcinem@","Ali Suliman, Juliet Rylance, Nathalie Emmanuel, Mark Wahlberg, Simu Liu",Simon Cellan Jones,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Sierra/Affinity, Entertainment One, Tucker Tooley Entertainment, Municipal Pictures, Mark Canton Productions"
Land of Bad,113,English,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",2024,"Action, Thriller, War","air force, battle, behind enemy lines, special ops, rescue operation, amused","Liam Hemsworth, Ricky Whittle, Luke Hemsworth, Russell Crowe, Milo Ventimiglia",William Eubank,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling, Spectrum On Demand ","Broken Open Pictures, Volition Media Partners, Highland Film Group, Hoodlum Entertainment, R.U. Robot Studios, Moonbow, Gosdom Entertainment, Short Porch Pictures, The Avenue Entertainment"
The First Omen,119,English,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",2024,Horror,"nun, prophecy, italy, devil's son, revelation, anti-christ, prequel, priest, female protagonist, church, dark secret, disturbed, religious horror","Ralph Ineson, María Caballero, Nell Tiger Free, Bill Nighy, Sônia Braga",Arkasha Stevenson,,,,"Phantom Four, 20th Century Studios"
City Hunter,105,Japanese,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.",2024,"Action, Comedy, Drama","remake, based on manga, based on anime, sweeper, live action remake","Masanobu Ando, Ryohei Suzuki, Misato Morita, Fumino Kimura, Asuka Hanamura",Yuichi Satoh,"Netflix, Netflix basic with Ads ",,,"Horipro, Office Shirous, Netflix"
Woody Woodpecker Goes to Camp,101,English,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",2024,"Family, Comedy, Animation","camping, woodpecker, bird","Mary-Louise Parker, Eric Bauza, Kevin Michael Richardson, Josh Lawson, Tom Kenny",Jonathan A. Rosenbaum,"Netflix, Netflix basic with Ads ",,,"Universal 1440 Entertainment, Universal Animation Studios"
Abigail,109,English,"After a group of would-be criminals kidnap the 12 year old ballerina daughter of a powerful underworld figure, all they have to do to collect a $50 million ransom is watch the girl overnight. In an isolated mansion, the captors start to dwindle, one by one, and they discover, to their mounting horror, that they’re locked inside with no normal little girl.",2024,"Horror, Thriller, Comedy","ransom, vampire, kidnapping, ballerina, monster movie, dracula","Kathryn Newton, Alisha Weir, Kevin Durand, Dan Stevens, Melissa Barrera","Matt Bettinelli-Olpin, Tyler Gillett",,,,"Project X Entertainment, Radio Silence, Universal Pictures, Vinson Films"
Lights Out,90,English,"A drifting ex-soldier turns underground fighter with the help of a just-released ex-con, pitting him against corrupt cops and hired killers now gunning for him and all those he cares about.",2024,"Action, Thriller",None,"Dermot Mulroney, Scott Adkins, Frank Grillo, Mekhi Phifer, Jaime King",Christian Sesma,"Hulu, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Firebrand
Road House,121,English,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",2024,"Action, Thriller","florida keys, remake, bouncer, fighting, ufc, mma, audacious, baffled, bold","Jake Gyllenhaal, Jessica Williams, Conor McGregor, Billy Magnussen, Daniela Melchior",Doug Liman,Amazon Prime Video ,,,"Metro-Goldwyn-Mayer, Silver Pictures"
The Garfield Movie,101,English,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",2024,"Animation, Comedy, Family","friendship, cat, villain, based on comic, lasagne, computer animation, based on cartoon, food, dog, father son relationship, adaptation","Chris Pratt, Hannah Waddingham, Samuel L. Jackson, Harvey Guillén, Nicholas Hoult",Mark Dindal,,,,"Alcon Entertainment, Prime Focus, DNEG Animation, Columbia Pictures, Paws, Inc., One Cool Film Production, Wayfarer Studios"
Imaginary,104,English,"When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be.",2024,"Horror, Mystery, Thriller","stepmother, imaginary friend, stepmother stepdaughter relationship","DeWanda Wise, Tom Payne, Taegen Burns, Betty Buckley, Pyper Braun",Jeff Wadlow,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Blumhouse Productions, Tower of Babble Entertainment, Lionsgate"
Justice League: Crisis on Infinite Earths Part One,93,English,"Death is coming. Worse than death: oblivion. Not just for our Earth, but for everyone, everywhere, in every universe! Against this ultimate destruction, the mysterious Monitor has gathered the greatest team of Super Heroes ever assembled. But what can the combined might of Superman, Wonder Woman, Batman, The Flash, Green Lantern and hundreds of Super Heroes from multiple Earths even do to save all of reality from an unstoppable antimatter armageddon?!",2024,"Animation, Science Fiction, Action","superhero, villain, end of the world, based on graphic novel, superhero team, parallel universe, dcamu (tomorrowverse)","Matt Bomer, Meg Donnelly, Darren Criss, Jensen Ackles, Stana Katic",Jeff Wamester,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DC Entertainment, Warner Bros. Animation"
