Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Rebel Moon - Part Two: The Scargiver,123,English,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",2024,"Science Fiction, Action, Drama","space war, space, female protagonist, space opera, space adventure, action hero, alien spaceship, super hero girls, space vessel, odyssey","Djimon Hounsou, Bae Doona, Ed Skrein, Michiel Huisman, Sofia Boutella",Zack Snyder,"Netflix, Netflix basic with Ads ",,,"The Stone Quarry, Grand Electric"
Megamind vs. the Doom Syndicate,85,English,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",2024,"Animation, Comedy, Science Fiction","sequel, low cost, low budget, worst film","Emily Tuñon, Laura Post, Josh Brener, Maya Tuttle, Keith Ferguson",Eric Fogel,Peacock ,,,DreamWorks Animation Television
Immaculate,89,English,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",2024,"Horror, Mystery, Thriller","nun, italy, pregnancy, priest, female protagonist, church, convent (nunnery), dark secret, somber, religious horror, body horror","Benedetta Porcaroli, Giorgio Colangeli, Álvaro Morte, Sydney Sweeney, Dora Romano",Michael Mohan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Black Bear Pictures, Fifty-Fifty Films, Middle Child Films"
Inside Out 2,100,English,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024,"Animation, Family, Drama, Adventure, Fantasy","sequel, computer animation, teenage girl, emotions, anxiety, pixar","Tony Hale, Phyllis Smith, Liza Lapira, Lewis Black, Amy Poehler",Kelsey Mann,,,,"Pixar, Walt Disney Pictures, Sorenstudio"
The Fall Guy,126,English,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",2024,"Action, Comedy, Drama","stuntman, missing person, action comedy, based on tv series","Ryan Gosling, Aaron Taylor-Johnson, Winston Duke, Emily Blunt, Hannah Waddingham",David Leitch,,,,"87North Productions, Entertainment 360, Universal Pictures"
Ghostbusters: Frozen Empire,115,English,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",2024,"Fantasy, Adventure, Comedy","new york city, supernatural, ghostbuster, sequel, teenage girl, ghost, duringcreditsstinger, research laboratory, evil force, ancient artifact","Paul Rudd, Finn Wolfhard, Dan Aykroyd, Carrie Coon, Mckenna Grace",Gil Kenan,,,,"Ghost Corps, Columbia Pictures"
Badland Hunters,107,Korean,"After a deadly earthquake turns Seoul into a lawless badland, a fearless huntsman springs into action to rescue a teenager abducted by a mad doctor.",2024,"Science Fiction, Action","post-apocalyptic future, earthquake, badlands, based on webcomic or webtoon, seoul, south korea","Ma Dong-seok, Ahn Ji-hye, Lee Jun-young, Roh Jeong-eui, Lee Hee-jun",Heo Myeong-haeng,"Netflix, Netflix basic with Ads ",,,"Climax Studios, Big Punch Pictures, Nova Film"
Ricky Stanicky,113,English,"When three childhood best friends pull a prank gone wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, the trio still uses the nonexistent Ricky as a handy alibi for their immature behavior. But when their spouses and partners get suspicious and demand to finally meet the fabled Mr. Stanicky, the guilty trio decide to hire a washed-up actor and raunchy celebrity impersonator to bring him to life.",2024,Comedy,"lie, male friendship, atlantic city, lgbt, lying, pathetic, actor","Zac Efron, John Cena, Lex Scott Davis, Jermaine Fowler, Andrew Santino",Peter Farrelly,Amazon Prime Video ,,,"Footloose Productions, Michael De Luca Productions, Smart Entertainment, RocketScience, Gerber Pictures, Amazon MGM Studios"
Mean Girls,113,English,"New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.",2024,Comedy,"high school, musical, illinois, female friendship, bullying, based on play or musical, kenya, teen movie, prom, teenage girl, homeschooling, math teacher, gossip, intervention, clique, former best friend, teen comedy, based on movie, public humiliation, aftercreditsstinger, woman director, high school rivalry, teenage life, manipulative friend, math genius, segregation, musical comedy, female bully, dumb blonde, teen romance, high school romance","Avantika Vandanapu, Reneé Rapp, Jaquel Spivey, Angourie Rice, Auli'i Cravalho","Arturo Perez Jr., Samantha Jayne","fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Little Stranger, Broadway Video, Paramount"
Late Night with the Devil,93,English,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",2024,Horror,"new york city, 1970s, halloween, possession, hallucination, evil, hypnotism, found footage, satanic cult, death of wife, magician, late-night show, provocative, satanic panic, awestruck","Ian Bliss, Fayssal Bazzi, David Dastmalchian, Ingrid Torelli, Laura Gordon","Colin Cairnes, Cameron Cairnes","AMC Plus Apple TV Channel , AMC+ Amazon Channel, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",,"Spooky Pictures, Future Pictures, Good Fiend Films, Image Nation Abu Dhabi, VicScreen, AGC Studios"
Justice League: Crisis on Infinite Earths Part Two,94,English,"An endless army of shadow demons bent on the destruction of all reality swarms over our world and all parallel Earths! The only thing opposing them is the mightiest team of metahumans ever assembled. But not even the combined power of Superman, Batman, Wonder Woman, Green Lantern and all their fellow superheroes can slow down the onslaught of this invincible horde. What mysterious force is driving them? And how do the long-buried secrets of the Monitor and Supergirl threaten to crush our last defense?",2024,"Animation, Science Fiction, Action","superhero, end of the world, based on graphic novel, superhero team, parallel universe, dcamu (tomorrowverse)","Meg Donnelly, Darren Criss, Jonathan Adams, Jensen Ackles, Stana Katic",Jeff Wamester,,"Apple TV, Amazon Video, Google Play Movies, YouTube ",,"Warner Bros. Animation, DC Entertainment"
Kingdom of the Planet of the Apes,145,English,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",2024,"Science Fiction, Adventure, Action","dystopia, sequel, distant future, ape, monkey, evil tyrant","Owen Teague, Kevin Durand, Freya Allan, Peter Macon, William H. Macy",Wes Ball,,,,"20th Century Studios, Oddball Entertainment, Jason T. Reed Productions"
The Beekeeper,105,English,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,2024,"Action, Thriller, Drama","potus, secret government agency, fbi agent, beekeepers, scammer, scam call center, retired assassin, exhilarated","Bobby Naderi, Jeremy Irons, Jason Statham, Josh Hutcherson, Emmy Raver-Lampman",David Ayer,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Miramax, Cedar Park Entertainment, Punch Palace Productions"
Furiosa: A Mad Max Saga,148,English,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",2024,"Science Fiction, Action, Adventure","post-apocalyptic future, prequel, spin off","Tom Burke, Chris Hemsworth, Anya Taylor-Joy, Lachy Hulme, Angus Sampson",George Miller,,,,"Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell"
Fighter,167,Hindi,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external.",2024,"Action, Thriller, War","helicopter, airplane, fighter pilot, helicopter pilot, kashmir conflict, behind enemy lines, jet fighter pilot, military, retaliation, armed conflict, kashmir, fighter pilots, india pakistan border, military aviation, military pilots, islamic terrorism, indian air force, india pakistan conflict","Deepika Padukone, Karan Singh Grover, Hrithik Roshan, Anil Kapoor, Akshay Oberoi",Siddharth Anand,"Netflix, Netflix basic with Ads ",,,"Marflix Pictures, Viacom18 Studios, Prime Focus"
Miller's Girl,93,English,A precocious young writer becomes involved with her high school creative writing teacher in a dark coming-of-age drama that examines the blurred lines of emotional connectivity between professor and protégé.,2024,"Mystery, Thriller, Drama","husband wife relationship, school, writer, teacher student relationship, teachers and students","Jenna Ortega, Bashir Salahuddin, Dagmara Dominczyk, Martin Freeman, Gideon Adlon",Jade Halley Bartlett,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Point Grey Pictures, Good Universe, Lionsgate"
Madame Web,116,English,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",2024,"Action, Fantasy","new york city, superhero, spider, based on comic, super power, paramedic, superhero team, manhattan, new york city, clairvoyant, epic battle, teen superhero, web, origin story, 2000s, vision of the future, female superhero, incredulous, tragic, superpower, epic heroes","Celeste O'Connor, Tahar Rahim, Dakota Johnson, Sydney Sweeney, Isabela Merced",S.J. Clarkson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Columbia Pictures, di Bonaventura Pictures"
No Way Up,90,English,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,2024,"Action, Horror, Thriller","ocean, bodyguard, rescue mission, childhood trauma, shark, airplane trip, sharks, air crash, survivor, depressing","Sophie McIntosh, Colm Meaney, Jeremias Amoore, Phyllis Logan, Will Attenborough",Claudio Fäh,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Altitude Film Entertainment, Ingenious Media, Hyprr Films, Sarma Films, Dimension Studio"
Sayen: The Huntress,88,Spanish,"The action-packed thriller follows the journey of Sayen, a Mapuche woman who uncovers a dangerous conspiracy led by an international corporation that is destroying her family's land and ravaging the local ecosystems throughout Chile, and takes it upon herself to bring these people to justice and save her family's legacy.",2024,"Action, Thriller",None,"Aarón Díaz, Alfredo Castro, Rallén Montenegro, Eyal Meyer, Eva De Dominici",Alexander Witt,Amazon Prime Video ,,,Fabula
Kung Fu Panda 4,94,English,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",2024,"Animation, Action, Family, Comedy, Fantasy","martial arts, kung fu, china, sequel, panda, anthropomorphism, pathetic, disheartening, embarrassed, tragic","Jack Black, Dustin Hoffman, Bryan Cranston, Viola Davis, Awkwafina",Mike Mitchell,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",DreamWorks Animation
Monkey Man,121,English,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",2024,"Action, Thriller, Crime","aggressive, indian, revenge thriller, brutal violence, action thriller, night club, optimistic","Pitobash, Adithi Kalkunte, Dev Patel, Makrand Deshpande, Sikandar Kher",Dev Patel,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Thunder Road, Bron Studios, Monkeypaw Productions, Minor Realm, Creative Wealth Media Finance, WME Independent, S'YA Concept"
Damaged,98,English,"A Chicago detective travels to Scotland after an emerging serial killer’s crimes match those that he investigated five years earlier, one of which was the crime scene of his murdered girlfriend.",2024,"Action, Crime, Thriller","scotland, detective, girlfriend, murder, serial killer","Gianni Capaldi, Vincent Cassel, Kate Dickie, Samuel L. Jackson, John Hannah",Terry McDonough,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Red Sea Media, BondIt Media Capital, Tartan Bridge Films, High Five Films"
Spaceman,108,English,"During a research mission, an astronaut discovers that his marriage is in trouble. Luckily, he has the help of a mysterious creature hidden in his ship.",2024,"Science Fiction, Adventure, Drama","based on novel or book, space travel, space mission, alien, astronaut, space research, czech republic, absurd","Carey Mulligan, Paul Dano, Adam Sandler, Isabella Rossellini, Kunal Nayyar",Johan Renck,"Netflix, Netflix basic with Ads ",,,"Free Association, Tango Entertainment, Sinestra"
The Idea of You,116,English,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",2024,"Romance, Comedy, Music","based on novel or book, older woman younger man relationship, boy band, compassionate","Anne Hathaway, Ella Rubin, Nicholas Galitzine, Annie Mumolo, Reid Scott",Michael Showalter,,,,"Welle Entertainment, Somewhere Pictures, I’ll Have Another, Amazon MGM Studios"
Tarot,92,English,"When a group of friends recklessly violates the sacred rule of Tarot readings they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2024,"Horror, Thriller","group of friends, supernatural horror","Jacob Batalon, Avantika Vandanapu, Alana Boden, Harriet Slater, Adain Bradley","Spenser Cohen, Anna Halberg",,,,"Screen Gems, Alloy Entertainment, Ground Control Entertainment, Capstone Pictures"
Challengers,132,English,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",2024,"Drama, Romance","hotel room, infidelity, husband wife relationship, love triangle, sports, tennis, competition, tennis racket, eroticism, sauna, tennis player, rivalry, interracial marriage, polyamory, tennis court, ex-boyfriend ex-girlfriend relationship, tennis ball, knee injury, prodigy, tennis pro, 2000s, 2010s, lgbt interest, female coach, psychosexual, gay kiss, sports drama, power dynamics, ex friend, new york, audacious, euphoric","Josh O'Connor, Bryan Doo, Zendaya, Darnell Appling, Mike Faist",Luca Guadagnino,,,,"Pascal Pictures, Why Are You Acting? Productions, Frenesy Film, Metro-Goldwyn-Mayer"
Sixty Minutes,89,German,"Desperate to keep custody of his daughter, a mixed martial arts fighter abandons a big match and races across Berlin to attend her birthday party.",2024,Action,None,"Marie Mouroum, Florian Schmidtke, Dennis Mojen, Paul Wollin, Emilio Sakraya",Oliver Kienle,"Netflix, Netflix basic with Ads ",,,"Nocturna Productions, Wiedemann & Berg Television"
Breathe,93,English,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven.",2024,"Science Fiction, Mystery, Thriller",None,"Common, Sam Worthington, Milla Jovovich, Quvenzhané Wallis, Jennifer Hudson",Stefon Bristol,,"Apple TV, Amazon Video, YouTube ","Apple TV, Amazon Video, YouTube ","Thunder Road, Capstone Studios, Streamline Global"
Damsel,110,English,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,2024,"Fantasy, Action, Adventure","princess, fire, chase, kingdom, sword, mountain, revenge, knight, dragon, hero's journey, admiring, fairytale","Nick Robinson, Millie Bobby Brown, Ray Winstone, Brooke Carter, Angela Bassett",Juan Carlos Fresnadillo,"Netflix, Netflix basic with Ads ",,,"PCMA Productions, Roth-Kirschenbaum Films"
